input,labels
"He is made of rubber , so he ca not have a pulse ",1
My new school year has launched and I got so wrapped up in my teaching .,1
"It is important for us to have our goals in life , but it is more important to make a effective goals according to your actual condition .",0
"This logo design is very simple , But deep meaning is hidden behind there .",0
It is a .m . Feeling sleepy Hope I can make some friends that can share the knowlegde we have .,0
I was so tired for waiting him .,0
He sometimes spoke in a blank tone in response to our call .,0
My kids love corns .,1
Natural disaster that is not easy to control .,0
then i introduce myself,0
I want to go Karaoke with him next month !,1
"In order to offer chronically the comsumers best service and commodities , you had better use some profits to invest your enterprise .",0
My friends say that I and my sister look like twins .,1
Trying not to be a Monk only for three days ,0
Should College Students Hire Cleaners ?,1
I want to start off from translation of one of my video which I m going to put subtitle in English .,0
i hope one day i can go to europe .,0
"Before the move , I lived in a hilly inland area .",0
And it moderates the pain in the throat .,1
My passion,0
I watched a DVD of Silk Road at today .,0
And my room is in the south east in my apartment .,1
Today I learned the Korean alphabet .,0
"He introduced me to this site , so I can write this diary .",1
The author has persuaded the reader to consent to the conclusion and sentences have been formed to protect the conclusion to the end .,1
"I have an English friend who is learning Chinese . Please tell me . I will follow closely your Chinese diary , and hope they can help me to improve my English diary .",1
But it is not enough .,1
"However , it is only when I do not have any plans to go out .",1
i am so happy this week,0
It is almost bloom cherry - blossom .,0
Are you stupid ?,0
It is a small presentation that only nine people will attend and it is about the feedback after reading a book .,0
"The lover is special course , lover is dedicated suite , lover is coupon and so forth are chock full of the stink coming off the coins .",1
"However , the economic recessions are more effective than these efforts .",1
"Today is lunch time , we talked about scream machines .",1
Then we were laughing .,0
It was very delicious ! !,0
The allergy to avocado,1
"Now , I am doing a study in sports psychology .",1
I am planning to join a company next year .,1
simple plan,1
"If my children can tell me everything , I am the best mom .",0
I love all the stars up the sky .,0
"That is funny , he used Twitter although he was the emperor in the old days .",1
I will try multi - tasking from now .,1
Thanks for reading such a long entry !,0
"I have been studying listening , reading and speaking skills in English so far , but never learned about writing .",1
It is a judgment of the boss of not join .,0
Clean the room,1
Why my English have not been improved ?,0
I study English ,1
"Therefore , I took a medicine and I wore warm clothes in order not to catch a cold .",1
I was disappointed when Charlie could not get the Golden Ticket but I jumped up to be glad in my mind when he got the last one after later .,1
We had a promise .,1
Which one of these characteristics is most important to you ?,0
 is ' did you nod ?,1
"He made air bad , and we thought that he was a troublemaker when he drank .",0
That was so scary .,0
This may be last cold and next week spring will come .,0
"Excuse me Sir , your pubic hair is coming out from your underwear .",0
"Most of his movies are twisted , so I was surprised when I heard that he had directed this kind of hero movie .",0
 Vocabulary - Sitcom Friends and two textbooks,1
This drama is my favorite drama ever .,1
My English is unworthy .,0
The happy financial reporting of Chugai Pharmaceutical .,0
I wish your day is special .,0
"As we find that if we still do not do some exercises , our body will be flatter and weeker .",1
Korea is a homogeneous country .,1
Of course there were some problems .,1
I was very suprised his speed and appetite .,0
In the same way as the technical growth of the ski,0
"In a word , I believe that the city can make a better life .",1
"A day of crisis all of relatively calm in the Egyptian capital even as senior leadership of the ruling party , including H .",1
I was surprised !,0
"Hello , lang - users !",1
"This morning , my girlfriend called me .",0
"Complete the second sentence so that it has a similar meaning to the first sentence , using the word given .",0
Today an idea hit upon in my mind . Why do the people read books ? ,0
"When he becomes like that , he can listen to nothing .",1
So I was surprised and impressed by the unexpected active situations .,1
Roads to Furano got choked because many visitors rushed Lavender gardens .,0
I play badminton once a week and today was that day .,0
"The first time I called him , I was not able to follow him at all , because his way of pronouncing English is so different from the American English which I am used to hearing .",1
I was excited a little though I usually did not watch,1
"So , the weather is very warm .",1
"So , as the Mid - Autumn day s coming , best wishes for all my dear friends !",0
 I see .,0
I do not care which nationality you have .,1
"I thought I learned them when I was high school student , math was very difficult for me .",0
Now I am thankful for being in front of my computer as usual .,0
strange food,0
"So , I wonder if I should take it easy .",1
"I hope to go to see the cherry blossom this Sunday , ",1
She is singer,0
I took a painting class in Tokyo yesterday .,0
"Hopefully , I can enjoy snowing next time .",1
"Once upon a time a young girl , called Mariah .",0
After lunch I drove the car to go to the store .,1
I am in charge of voice systems which are installed in the global branch .,1
It was probably first time that cotten candy was not effective to convince him .,0
"I love this site , and I want to make frends through this way",0
 What happens to the hole when the chees is gone ?,0
" . Inorganic chemical products such as nitrate , nitrite , fluoride , arsenic , selenium , mercury .",0
He would take photoglaphs of old buildings .,0
Keep going for a goal .,1
 Type Select indented or run - in .,1
I have not been aware of the haze over my hometown until this summer though I have so many times looked up to the sky .,0
That is the first time that I have sold it .,1
Second asking,1
I was with my friend and we both was so happy for the Tiger is win .,0
Then I left there and had lunch .,0
She works as a dietitian .,0
"Also , in the world , actions driving nuclear - power policy seem to certainly slow down .",1
my name is Klaudia .,0
"I got into a panic when many things , such as Japanese phrases , English Phrase , grammar stuffs and other is worrisome faces , came up my mind quickly , just like flash - back .",0
Next is also an animal is sneeze ,0
"Then I figured , well , geek is kind of way better than chubby or pig . Goodness I am all alive again .",1
"Sometimes , I find comments written in English by my friends who can speak English .",1
One should be always concentrated and careful .,0
The mirror room was very beautiful .,0
"Since I was child , I have been fond of it .",0
"I can breast stroke better than crawl , so I practice crawl now .",0
For the first time I did not meet anyone acquaintance at the airport .,1
"The master said to the customer contentedly , Things went as I said . ",1
 th . We d . June . Karaoke,1
At that time it was really fantastic weather . I could see wild blue sky and white beaches surrounded by an emerald - color sea I had never seen before .,1
You need a good sense of design to judge good design .,0
I asked her Do you know Doramichan ? ,0
A Bittersweet Life,1
"After the class , I went to the shrine for the first time this year .",1
The term WYSIWYG originated as an acronym for What You See Is What You Get .,0
not hot,1
The food was delicious . My friend was happy .,1
"So , now I am sitting and eating my favorite cereal . I am like a child .",1
Google homepage .,0
"I do not know whether he is smart or not , but he is a very good squash player .",0
"Soon , our class teacher enters the room .",0
"When I have such a feeling , ",1
I started to study english .,0
It motivated me a lot .,0
This bridge is Sungsan Bridge made in in Seoul .,0
I ca not cirresponding to human socielty .,0
And help you relax and ease the pain of your throat .,0
There are a lot of kind of them all over the world .,0
Do you catch a cold ?,1
One of the reasons is that I can not read Arabic at all .,1
An economic position .,0
Open his legs toward front and back .,0
so crowded .,0
I ran into a friend who I had not seen for a long time on the subway .,1
"For instance , The One , Drowning , I will never break your heart , The perfect fun , and Everybody ",0
I ca not decide .,1
"He asks himself what it is all for , and why he should bother .",1
And we have been warning them throught our seven years their i .,0
I want to know he is famous in USA or not .,0
We are about C or F I am not good with the convertions u .,0
I should go to bed early .,0
She was not sure she could pass them or not .,1
I am renting the apartment which has one dining room and two rooms .,1
"This is the photo , and the BBS topic about it .",1
I went to bank for exchanging money .,0
"UBL , BL and PBL are commonly aimed active participation of the students .",0
"During the days in my hometown , I had been able to have interest in and concern about my neighborhoods , which made me step back from my problems having overwhelmed me .",0
"I am a member of this group , too !",1
It was very hard time .,0
"Now , I drew the map shows the way to my house .",0
But now I will try to constantly write something here .,1
They ca not buy flats .,0
I enrolled in a cram school for the degree entrance examination one week ago .,1
The photograph is the produced on work .,0
"Not only do they have a doubt about the judgment , but also , unbelievably , they slander Yuna with discriminative words on the internet .",1
The PC is lap top .,0
" shows uncomfortable look Now , why advertise ?",1
"But now , I do not know what do I want .",0
We stayed at there until morning !,0
"Some think it is beneficial , but other people disagree .",1
Finally I spoke to the last man in black who I would not spoken to yet .,1
The way of studying English,0
 ,0
i have older sister and older brother .,0
 Clannad extra episode - kyou chapter - scene ,1
This was precious for me .,1
I was saprised because of spectators is cheering !It was interested for me !,0
 ,1
I think the best way to learn foreign languages is to use Podcast for those who ca not go to the country where native speakers live or who ca not have friends of its native language .,0
After that we and more friends ate dinner .,0
"Hi everyone , ",0
And just go home .,1
and always study hard only on the eve of exams . It is awful !,1
She thinks fish does not have a brain so it can be killed and tastes good .,0
I called a city office and asked if they had my bicycle .,0
I drink a cup of soymilk in a strawberry or barley tea .,1
National intelligence,0
I want to sleep and hope I can wake up at AM in the morning .,1
"So , I checked them to see who wanted to drink with me , but nobody wanted .",1
"However , I could not pronounce one character of my name no matter how I tried .",1
Sometimes I sing songs as well .,1
Nowadays I am going to prepare for the coming exhibition of human revolution .,1
She is one year older than I .,0
 WE - Third photo,1
You may know that Lang - can be combined with Twitter .,1
Thank you very much in advance ! !,0
So I saw them off at the airport .,1
I heard there are absences in my daughter is class today .,0
The only solution for them was to get married .,0
That taste really depends on the restaurants .,0
"We did talking , eating and playing tag .",0
because I always need to help .,1
"Perhaps , I have watched television too much .",1
He reasons Why involve someone else when I can do it myself ? He keeps his problems to himself unless he requires help from another to find a solution .,1
"In Japan , there are a lot of fast food restaurants around town .",1
"So , as the Mid - Autumn day s coming , best wishes to all my dear friends !",1
LeBron James seemed to be baffled with booing by the audience .,0
"All the traditional clothes , handwritings , traditional Chinese paintings exhibited in the opening ceremony of the Olympics surprised the world .",1
I was so tired after I walked almost six hours .,1
I am Alison and I was born on th Jenuary in Ketrzyn in Poland .,0
"As a result , I hurt someone .",1
but I did .,0
"If I were born a man , I hope I could be a tall and stormy .",0
Is the picture bad ?,1
"I want to write on this site about a problem in Japan and a solution to that , but my poor English disturbs me .",1
They are mixed twins .,0
"I think this typhoon bring no damage to my house , which is not near a big river .",0
"Thank you , ",0
We are very similar .,0
Someone in the residents is a flower designer,0
No one can answer .,1
"The speed of this site is very slow , is not it ?",0
 - Where have you been this summer ?,1
It was a very good seminar and served as a reference .,1
I felt I was lucky to be born as Japanese ! !,0
Cleaning the Shinto shrine .,0
"I am attending English Lunch , where English class teachers and students have a chat over lunch at college .",1
Hello Hello Hello,0
That is all for today .,0
 Under construction . ,1
The scene was like a drawing in India ink .,0
This taught me how to deal with people from different countries and broadened my horizons .,0
hot hot hot,1
He enjoys being at home alone reading a book .,0
But i want to write as long as possible .,0
Should I be easy going to make a comment on another diary ?,1
It remained hours .,1
"I think cooking is not mean love , it could mean friendship , family love and all good wishes for those whom you want cook for , it is a happy way enjoying life when i want to express my emotions .",0
Can you say that the Japanese people are happy ?,0
Does he love me ?,1
She is such a good girl that she never barks loudly .,1
"If they were too easy to play , I would not take them very seriously .",0
"For instance , the character that takes the form of the book can exceed time and the place , so to speak , the history .",1
We all call him MR .,1
He cried and I told him to go to a hospital .,0
We hold a barbecue party .,1
I eat too much chocolate and sweets and I do not eat enough fruit .,1
Japanese Animation,0
This will give a power for studying from tomorrow .,0
Today is Monday .,1
"I do not think that I can speak English well , on the other hand , I can get a nerve .",1
I think that he takes not only emotional but also practical aspect into consideration .,0
or strenghten the another industries which has strengthness ?,0
I ca not have written my diary because I have been busy .,0
Things To Do,1
" ' Quiet , you ! ' ",0
"People of old saying , Do in Rome as the Romans do . ",0
Some people think that a serious nuclear power plant accident could happen somewhere at some time and that nuclear power stations should be got rid of .,1
But I became to know that I have always get on and off bus stop ago .,0
"Of course , I am also without the exception of fantasy .",0
"However , this is a great challenge .",1
It is no problem ,0
What we lie to other peoples,0
I study English .,0
She went to eat crab meat with a crab .,1
I keep loving sumo and the wrestlers no matter how media blame them .,0
I think it is a great way !,0
All of them were beautiful .,1
"On the school way , he found",0
There are far fewer tourists than in Saipan or Guam .,1
And I felt moving .,0
"But , the national football game , between Japan and Korea , will be held today .",1
My bicycle broke down this morning .,1
Why lady ?,1
So I could not do it .,1
Japanese people,0
I was really depressed .,1
I am in college right now .,1
My sam is addicted to it .,1
I have to study for my job and I want to study English and other things .,0
"In , the annual sales of PCs in the Japanese market were almost .",1
I have finished watching season .,1
but I am doing it in order to study abroad !,1
"By the way , my father died today .",1
I think that it is a problem .,1
 We never go out translated into Martian means I feel like going out and doing something together .,1
"And , I also used to play with them .",0
It was a fantasy like a fairy tale .,0
The greatest problem is that both seem too dry to me .,0
Now I am writing the report about it .,0
"A Hey , what do you think about doctors who fall in love with their patients ? ",1
And this week is Wednesday is a holiday in Russia .,0
"With practice more and more , then she will get better !",0
There are a lot of fans with cute designs in the store .,1
i hope whole year will be the same like the weather today .,0
"Anyway , I finally start to work there , in Busan .",0
f - hot summer,0
He sent me e - mail just now .,0
which information is true ?,0
"At the beginning of my class , sometimes I think why you are a little bit shy to open your month .",1
So I had to focus on saving money for me .,1
I have to study deadly hard to get myself standing out from thousands of competitors .,1
I like cats .,1
i did take some classes learning japanese,0
I was surprised that the men group order beers .,0
I am a medical student and I am in my fifth years .,0
I also love the heavy rain that usually comes with a thunderstorm .,0
"Our brain is activated more , not only when we write words and sentences .",1
Situation before I explain about the study .,1
"Today , I was given the souvenir from my friend who returned from a trip .",0
The main actor and the main actress are nice .,1
He was known for his unique illustrations .,0
"Judging from their appearance , I guessed that they were Muslims .",1
Johnny Depp,1
"When I ate Jeon before , I ate together with her , but I eat alone now .",0
"I was at that time , basically a child , but the questioners treated me like an adult , and not in a positive sense .",1
"However , I am bound to distress myself about the weak point .",0
See you .,1
There is nothing I could do .,0
I thought there were two monsters,0
"My body temperature indicated high fever though , I did not notice any other symptom .",0
But the class was very fun .,0
But he omitted the life of labor who have to work long hours but get lower payment .,1
"Taking sleeping bus , site seeing , meeting many other culture .",0
Very hot today .,1
I have have an increased appetite these days .,0
What is new ?,0
"At first , I thought that it is natural that they are interested in those because they are studying Japanese .",0
I think this is true .,0
It is autumn but I am looking forward to coming spring .,1
"And It was shower today , but I do not care it",0
"And autumn is not cold , not hot .",0
"Thinking back to when I was at their place before , I would feel not free to be their home .",0
Nice to meet everyone here .,0
"The picture is my balloon cat , by the way .",0
"Generally speaking , it appears that it is easier to enter into other countries passing across the border .",0
I think I should not give him any hope .,1
So promotion should including direct selling and promotional activities such as incentives .,0
He pulled a shuttlecock and kicked that .,1
The day promised was coming .,1
"She does not know how to cook , to do laundry and to clean rooms because a helper is in her house .",0
My own curriculum for spring vacation,0
"In the lesson , I must use English to communicate with kids .",1
Does a cat eat ants ?,1
I have three options .,1
Today I studied English that have been taken in ? an entrance exam of the university which is one of the most advanced one in Japan .,0
"When I ate with Jeon before , I ate together with her , but I eat alone now .",1
The students are all American and beginner Japanese speakers .,1
I think that I will study harder as them .,0
 ' cause I believe there is a way you can love me,0
I am not the person who decides when I am fired .,1
And here we are .,1
A bad workman always blames his tools .,0
"I looked at websites to work abroad , so I felt like working abroad .",1
I long for the American free style .,0
DEAR PROFESSOR at swiss,1
"Truly , I did not know that word in English .",0
"To the matters worse , the vomit was brown because I ate Curry before attending the party .",0
Evening shower,1
Japan cap !,0
There s more to life than this .,0
Then we received a present from my parents .,1
This is a cute panda like a stuffed toy .,1
I know .,1
SEE YOU SOON .,1
So I need my car .,1
This bar stated lunch service .,0
"In reality , behaving go outside fade out thinking go outside .",1
 The tail lamp will flash automatically when it gets some weaving signal and its battery is generated by solar power .,1
"And the last but not last , I brought a new mobile phone recently .",0
Thank you for reading my journal entry .,0
Is this sentence ok ?,0
I want you to give it a try and tell me how you feel .,0
"A few students entered my classroom halfway through the first term , so they will still be nervous when they take my lessons .",1
"The TV program took files ? a day , it totally spent hours .",0
And we got on a train at nine .,1
But it takes a lot of my time when I research my unknown words .,1
I thougth he was a foreigner but he was not foreigner .,0
I tried to write my journal in the morning of yesterday .,1
"If you know these artists , give me a comment .",1
People who were boys thirty years ago took a picture intently .,1
"It included warm - up , m x , m x , m x and cool - down .",0
"But I know , I must wait six month and I will see beutiful summer !",0
The meaning was often obscure to me .,1
The organization of the paper is as follows .,1
 - You can take the trash out anytime .,0
"I told him I wanted to learn guitar , and he promised to teach me online .",1
"Although that , I recommend you to watch this OVA .",0
Maybe one of the causes is working .,1
but I have my own job in the club that I have to be a staff of some tournaments .,0
That has always been a lie .,1
One of the surprised things is that most of the people are old women .,0
My plan is taking one more part time job .,0
"The WWF is a mundial organization too , more based on animals ' defense .",1
I do nt know why I was like that .,1
"Sometimes , I ca not understand about siblings or family .",1
"Since that , I tried my best to learn English in order to meet him some day .",0
But I seldom make documents in this company .,1
That is my thoughts about languages .,1
To play video games like wii .,1
I want to tell you about my favorite teacher .,1
golden week,0
 Presentation to moved heart in first minutes ,0
B Man does not live on bread alone .,1
So People put them away in a hurry after March rd .,0
I am trying to learn english by myself because it is dificult to entry in a good english academy here .,0
Lesson Useful expressions in English .,1
I feel a bit lonely .,1
It is important to understand in that case .,1
Your wife to try some really good wines .,1
"At night , I ate dinner and looked at television with my family .",1
Today is an anniversary .,0
"If I achieved my goal , my husband will give me some allocation apparently .",0
"Incidentally , I hear that in general native English speakers , even British newspaper reporters , does not write cursive handwriting today .",0
Maybe it will let me make friends with foreign people .,1
"They have fun with board games , ",0
This causes not only a supply shortage but also traffic hindrance .,1
We met at a temple in Kyoto .,0
He sells the company bills everyday .,0
I have few times until the deadline of my master is thesis ! !,1
" years ago , I worked at a bread production company .",1
Is feel OK ?,0
I ordered a half pint of beer and a kebab of ram .,0
I got annoyed with computer .,0
These demands make farmers to make maize instead of other foods like wheat .,0
It was that I took part in the club by E - mail .,1
The wind is much harder than that of strong typhoon in Japan .,0
"Poirot makes his debut in the novel The Mysterious Affair at Styles , which was published by John Lane in .",1
Canada is just as big as Calgary .,0
"Fortunately , I did well till now .",1
 ,1
I hate this typical blood running through everyone is body .,1
Are there any good way of sllepng ?,0
so I usually jog and exercise a lot and break big sweat before drink beer .,0
One day he talked about that he was punished by a school theacher for sleeping during the class .,0
"And if we feel satisfied with ourselves and the things belong to us at present , and we can be happy all the time .",0
"However , sports games also have negative effects .",0
"However , I like riding my bike very much , so I can abide such a cold weather .",0
"We have the longest wall in the world , as well as the most stricted one .",0
"Many families have evacuatedespecially foreign residents - because Embassys advised to move from Tokyo Many Embassys and their housese are located near my office , and nearest staiton from my house have express to Airports so",0
You do not look well .,0
FLOW FLOW FLOW !,0
I am little disappointed with this movie .,0
"Finally , I received a House t - shirt that I placed an order for through a House Gallery where I was able to talk about House , which is a medical drama broadcast on Fox , with many House fans in Korea .",1
It is an old book written in .,1
Now I am going to talk about planning .,1
Thank you .,0
"At the meantime , old products are always be replaced by the new , thus it becomes a problem .",0
How could China immerse itself in other countries and unite the whole of China ?,1
"This adornments is also the gift for her marriage , and the total weight of adornments is very heavy , especially the head adornment .",0
"I can read easily now , and my listening - not very good , but at least I can understand what other people mean .",1
is a great partner for us in Asia .,1
About my skill of English,0
"In the s and s , young people longed for a car .",1
"I did nt say that I seem to love you , although I love you .",1
It has become warm,1
"The last , luckiest can see the bright side of bad things .",1
i hoped their is work finish quickly .,0
"so , i am bubbling with the information ",0
"So , good night .",1
" - You do nt need to speak so loud , he can hear you .",0
"However , a lot of money was able to be earned .",0
"Beijing is situated in an area where sunny days are common , so the application of photocatalystic materials to the buildings ' walls and glass can save many lives .",1
I was so glad about that .,0
"After class , I watched lost with my computer and played computer games .",0
"Anyway , I will collect myself quickly .",1
My daughter is years old .,1
"My hobbies are watching TV , reading books and surfing internet .",0
"Recently , multiple errands are keeping me busy .",1
"Therefore , I advise male Japanese learners to avoid using overtly masculine Japanese and go for unisex Japanese whenever possible .",0
"Such as rice , beans , red dates , etc .",0
"No thumbing , no reading whole books to find one little thing .",1
So these two countries have not been reluctant to accept to each others ' culture for many years .,0
 This is not the exact translation of the above poem .,1
And I will go back Korea th August .,0
"It was surprising , however , I would watched it before .",0
"These days , I am crazy for him .",0
"Also , information becomes old information .",1
you can listening on podcast .,0
Americans dislike having silences in conversations .,1
It inspired me a lot .,0
I ca not wait to watch it and I wish their performance success .,0
"When the rich person sees it , he is ordering everyone to carry the rice bags to the shed .",0
These sentences were very profound .,0
" . You had better not go there again , ?",1
Went to the cafe two times .,1
"If it was weekdays , I must have taken a sick leave today .",0
"Comparing Job is presentation , we noticed the difference that there was little his gesture , humor and the way of timing .",1
"As a year old , you will never have the learning ability of a child .",0
I think the samurai spirit is great .,1
A female student came to me and talked to me .,0
Just check whether your tour agency can reserve a seat to the Geoje Island or not .,0
I always send her flowers as her birthday present .,1
"just for communicating with friends , more like making fun of them , which is useless in Korea at the moment .",1
It is not a meaningless life to survive in the bleak world .,1
I have just watched the movie ' Social Network ' ,1
I have a sister . She is five years older than me .,1
I watched my children is sports festival .,1
I have been interested in debating .,0
But ordinary people at those time did not know what constitution is .,0
"In fact , I do not like tuna so much .",0
"CHLOE What is going on , Jack ! ?",0
I came to Kenting with my friends for the first time . ,1
Of course I ca not live without rain ! ! But I do not like rain .,1
They composed the pronunciation of Chinese characters .,0
He was even feared by American government .,0
We looked like kids .,1
I have one .,1
It is too much bother .,1
"I say Let s play together , it says Let s play together .",1
Yesterday Japan was hit by a big earthquake .,0
"Unlike the invention of nuclear weapons , I believe that engineers invented nuclear power stations out of their devotion to mankind .",1
"Then we started to dig for clams , but we found only one clam !",1
This movie gives me a feeling which is pessimistic .,1
I want to change how to way .,1
"To our surprise , however , four pizzas were served !",1
"I still think a bare iPod is much smarter , but I am glad because the cords do not get tangled up anymore in the bag .",0
"Oh , but before that , I have to cook supper and walk my dogs .",0
I prefer living in off - campus housing to a dormitory on a campus .,0
"Oh , almost !",1
"And they can also enjoy the Internet shopping outside of the house , by using WLAN with Mobile Internet Device .",1
I do not like summer .,0
Now a season of the falling hair began for Pan .,0
That was very similar to in Japan .,0
Just smile .,0
It is a rose being penetrated by a bullet .,1
i afried my mother was angry !,0
You have to buy it on site .,1
"If you are a justice person , then selfish people would annoyed you most .",0
I sometimes watch an English drama called Dollhouse on the way home .,0
Let me love someone ! !,0
Because most of the Korea English Education never regard it place a great deal of weight on .,0
"However , according to my understanding of you , this letter might push you away from me .",0
"These days , there is one I see almost every day .",1
At least that is what I do every morning .,1
A community is ways of using language is a part of the community is culture .,0
I hope you can try it !,0
World Heritage,1
The difference in the exam is . scores .,1
 A house . ,1
I have a toolbar with English dictionary,0
The sun shined behind the cloud .,0
"Now the PST rate in BC is , which , combined with the GST , results in a harmonized sales tax rate of .",1
Its color is blown and white .,0
I do my best !,1
"In olden times , many Portuguese lived in Macau in order to trade with Chinese people .",1
"I do not like snowy and rainy , I like sunny , the sunshine more warm .",0
 ,0
I look back to the day when I was a small child .,1
I had not seen him for a long time .,1
"People who enjoy being in a changing life is not a bad thing , because they are more willing to accept new things and want to make their dreams come true or solve a problem in a better way .",1
This CM song is I have got rock ' n roll heart .,0
"I should do what I can , too .",1
It was over hours at one time .,0
Every day .,0
"He has a girl friend , but he does not want to get married , yet .",0
"The other day , I went to camera shop to apply my passport .",0
These techniques are very important and I was amazed .,0
"Those are Sleeping Beauty , Cinderella , Beauty and the Beast , Snow White and the Seven Dwarfs , and The Little Mermaid .",1
 Taking photo for ID ,1
Because there are many functions in it .,1
"If you do , I do believe that you will know why movies are so popular throughout the world .",1
We are happy ! !,1
I think that the business district of each city is great .,1
Today is a first day .,0
I had eaten it when I was there .,1
"but , i speak english a little .",0
Please fill in the blank to answer this questioneir .,0
"I thought that I could not be real friends with them , American people .",1
I like connections to art .,1
I studying English because want to speak .,0
Of course I love BIGBANG but I recomend girls group .,0
"I did a part - time job , and studied English .",1
Here are some examples ,1
"in my office , we should work at evening on every day",0
"Therefore , if spin has two types of direction shown in the chart , spin - up and spin - down , energy states of both are different .",1
"because I ca not understand what they say sometimes , especially when they speak fast .",1
"Such as musical instruments , such as breathing .",0
So I was relieved !,1
"The complexity of characters would stand in between Kanji and alphabets , very close to alphabets though .",1
The test was hard .,1
"Today , I will introduce my favorite band .",1
"Last night , I had the usual lesson with him and talked about the improvement of my English skill I have made so far .",0
I was suprised to hear that Guru seemed to had passed away of cancer .,0
"Though there are only dots , lines and some words on music scores , the composer must have put his her emotion into them .",1
"I thought about Studying Design , Tourism Management , or Chinese Teaching .",0
i need somethin to excited .,0
Now is winter when a lot of snow falls .,1
He recently started studying Japanese for me .,1
"They said that they needed a delicate touch , since a minute failure brought about an access error .",0
I feel really sorry because I will not go to the company tomorrow in the morning but I plan to go there late after I have finished my review . So thing at Sanamhoug I am really happy .,1
Girls want something new .,1
Things Japanese ,0
"Wow , I m jealous of you RT NA Keey It is so happy to eat an icecream after the work .",0
Today is so cold .,1
"I have never seen a real gun even in America , so I was kind of shocked .",1
"In Japan , We have a favorite quote about parent care .",0
I am going to study English on at least one day .,0
 Here is the route to the sea in the south is departure .,1
I will get back the books in two weeks,1
I like to take photos .,1
"We spent almost hours enquired about the quality , the style , decorative patterns and so on .",1
but victim of the tsunami is a situation that is more serious than we .,0
But I just proceed it online and it is very easy and takes short time .,0
"Because of this delay , I could not eat dinner .",0
I could see them .,0
I am planning to add Japanese as my second major because I have a great interested in Japanese culture and Japanese language since I was in high school .,0
"After we returned to the dorm , we packed up all of the necessary items into our backpacks .",1
"I ate kimchi stew , and Korean pizza ",1
is a good way to have some great outcome .,0
"Then , I want to train my English accent !",1
There are two reasons that I prefer to go to movies that I already know about .,1
Reading news paper without fail .,0
